FechaInicio,NúmeroEntrevista,DISTRITO,(P0B*R1AE) - Sexo (anotar),(P0D*R1AS) - ¿Me puede decir su edad?,"P0F*R1AS) - Actualmente, ¿está viviendo en...?",(P1*M1AS) - b - En su distrito,(P1*M1AS) - c - En su barrio,(P2*M10S) - b - En su distrito,(P2*M10S) - c - En su barrio,(P3*M10S) - a - En Madrid,(P3*M10S) - b - En su distrito,(P3*M10S) - c - En su barrio,(P4*M10S) - a - Cuidado y conservación de la ciudad,(P4*M10S) - b - Movilidad y transporte público,(P4*M10S) - c - Calidad medioambiental,(P4*M10S) - d - Facilidad para encontrar un trabajo,(P4*M10S) - e - Facilidad para emprender un negocio,(P4*M10S) - f - Imagen internacional de Madrid,(P4*M10S) - g - Coste de la vida,(P4*M10S) - h - Integración social,(P4*M10S) - i - Salud y servicios sanitarios,(P4*M10S) - j - Educación y centros educativos,(P4*M10S) - k - Facilidad para encontrar una vivienda en el marco de sus posibilidades,(P4*M10S) - l - Facilidad para hacer deporte,"(P4*M10S) - m - Oferta cultural, ocio y diversión",(P4*M10S) - n - Convivencia vecinal,(P4*M10S) - o - Seguridad,(P5B*R1AE) - Anotar 2ª problema,(P6*M10S) - a - Desigualdad de oportunidades entre hombres y mujeres,(P6*M10S) - b - Desigualdad de oportunidades entre la población extranjera y autóctona,(P7*M10S) - a - Las personas mayores,(P7*M10S) - b - La infancia,(P7*M10S) - c - Las personas con discapacidad,(P7*M10S) - d - Las personas lgtbiq+,(P7*M10S) - e - Los migrantes,(7*M10S) - f - La adolescencia,(P8*M10S) - a - La recogida de basuras y contenedores,"(P8*M10S) - b - La gestión y tratamiento de residuos (reciclaje, compostaje, etc.)",(P8*M10S) - c - El control de la contaminación atmosférica,(P8*M10S) - d - El control del ruido,(P8*M10S) - e - La limpieza de las calles,(P8*M10S) - f - El alumbrado público,"(P8*M10S) - g - Las infraestructuras de la ciudad para la circulación de vehículos (calles, túneles, etc.…)",(P8*M10S) - h - La pavimentación y conservación de las aceras,(P8*M10S) - i - El asfaltado y conservación de las calzadas,(P8*M10S) - j - La peatonalización de calles,"(P8*M10S) - k - La eliminación de barreras arquitectónicas (rebaje de bordillos, semáforos acústicos, etc.)",(P8*M10S) - l - La movilidad sostenible,(P8*M10S) - v - La mejora de la calidad del aire,(P8*M10S) - m - La conservación y rehabilitación de los edificios,(P8*M10S) - n - La protección de monumentos y del patrimonio histórico-artístico,(P8*M10S) - o - La información y promoción turística,"(P8*M10S) - p - La organización de fiestas y eventos populares (cabalgata, fiestas de san isidro, fiestas de los distritos...)","(P8*M10S) - q - El control de la salud pública (plagas, alimentos, aguas...)",(P8*M10S) - r - Las ayudas e incentivos a pymes y autónomos,(P8*M10S) - t - La promoción pública de viviendas,(P8*M10S) - w - La actuación frente a la ocupación ilegal,"(P8*M10S) - u - Los beneficios fiscales promovidos por el ayuntamiento (bajada de impuestos, bonificaciones...)",(P8*M10S) - x - El plan de fomento de la natalidad y la conciliación (el cheque bebé),(P9*M10S) - a - La atención a la ciudadanía,(P9*M10S) - c - El servicio de autobuses de la Emt,(P9*M10S) - d - Los taxis,(P9*M10S) - e - El ser (servicio de estacionamiento regulado),(P9*M10S) - f - Los agentes de movilidad,(P9*M10S) - g - La policía municipal,(P9*M10S) - h - Los bomberos,(P9*M10S) - i - Samur – protección civil,(P9*M10S) - j - La beca infantil para la escolarización 0-3 años,"(P9*M10S) - k - Los servicios sociales municipales (mayores, personas con discapacidad, inmigrantes, familias, …)",(P9*M10S) - l - Las vías ciclistas,(P9*M10S) - m - Los aparcamientos municipales,(P9*M10S) - n - Los puntos limpios de recogida y reciclaje de residuos,(P9*M10S) - o - Los espacios verdes (parques y jardines),(P9*M10S) - p - Los parques infantiles,(P9*M10S) - q - Los mercados municipales,(P9*M10S) - r - Las instalaciones deportivas municipales,(P9*M10S) - s - Los centros culturales municipales,(P9*M10S) - t - Las bibliotecas municipales,"(P9*M10S) - u - Los teatros municipales (Español, Matadero, Fernán Gómez…)",(P9*M10S) - v - El Samur social,(P9*M10S) - w - Bicimad,(P11*M10S) - b - Durante el día,(P11*M10S) - c - Durante la noche,(P13*M10S) - b - Durante el día,(P13*M10S) - c - Durante la noche,(P20*M2AS) - b - Segundo,Ponderacion
19-sep-25,1449669,8,1,3,2,5,5,5,5,2,3,3,8,8,4,6,6,8,1,7,7,7,2,7,6,4,5,4.0,5.0,8.0,8.0,7.0,8.0,10.0,10.0,7.0,8.0,8.0,6.0,5.0,6.0,8.0,7.0,5.0,6.0,8.0,7.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,4.0,6.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,270241"
19-sep-25,1449670,6,1,1,1,9,7,9,9,10,10,10,10,8,9,9,10,10,10,9,8,9,7,10,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,7.0,7.0,8.0,9.0,10.0,99.0,10.0,6.0,9.0,7.0,7.0,9.0,7.0,10.0,10.0,8.0,9.0,99.0,8.0,7.0,9.0,6.0,10.0,8.0,5.0,"1,943557"
19-sep-25,1449671,15,1,5,4,9,10,9,9,10,10,10,9,10,8,9,10,10,3,5,9,9,3,9,10,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,7.0,3.0,6.0,5.0,10.0,9.0,99.0,5.0,5.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,10.0,1.0,8.0,6.0,9.0,9.0,5.0,"1,476094"
19-sep-25,1449672,1,2,2,3,6,5,4,8,7,6,4,6,4,5,6,9,5,10,8,3,7,7,10,9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,3.0,6.0,5.0,6.0,6.0,3.0,7.0,4.0,9.0,8.0,8.0,9.0,3.0,5.0,7.0,5.0,3.0,4.0,6.0,2.0,9.0,9.0,9.0,5.0,1.0,"0,9332"
19-sep-25,1449673,2,2,1,5,7,8,6,8,5,6,6,4,5,3,3,3,4,1,3,7,8,2,5,9,6,7,5.0,6.0,7.0,8.0,6.0,7.0,8.0,7.0,7.0,6.0,6.0,3.0,5.0,6.0,7.0,7.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,6.0,5.0,7.0,5.0,3.0,0.0,6.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,699077"
19-sep-25,1449674,7,2,3,1,10,10,10,10,7,8,8,10,10,6,7,99,10,2,6,3,8,99,10,10,99,10,99.0,10.0,10.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,10.0,0.0,4.0,0.0,99.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,99.0,99.0,0.0,1.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,605655"
19-sep-25,1449675,16,2,1,3,10,10,9,10,8,9,10,8,8,6,7,4,8,3,7,4,8,0,10,10,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,4.0,0.0,5.0,8.0,8.0,8.0,99.0,7.0,7.0,6.0,10.0,8.0,6.0,10.0,9.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,10.0,8.0,3.0,"1,179333"
19-sep-25,1449676,7,1,2,4,7,6,6,7,2,5,5,6,7,2,6,1,6,2,5,6,4,1,4,8,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,5.0,6.0,7.0,2.0,6.0,7.0,6.0,6.0,4.0,7.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,7.0,4.0,7.0,7.0,7.0,"0,861369"
19-sep-25,1449677,4,2,4,1,9,9,8,8,7,7,7,7,8,6,5,9,8,2,8,1,5,3,5,10,9,9,5.0,5.0,5.0,6.0,7.0,7.0,7.0,5.0,8.0,2.0,4.0,6.0,6.0,4.0,8.0,1.0,7.0,6.0,0.0,8.0,3.0,5.0,8.0,6.0,8.0,8.0,0.0,9.0,0.0,99.0,2.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,873364"
19-sep-25,1449678,8,1,2,3,7,8,8,9,3,6,7,2,8,4,7,9,10,4,10,3,8,1,9,10,8,8,12.0,3.0,4.0,7.0,9.0,8.0,8.0,6.0,5.0,6.0,9.0,4.0,3.0,3.0,5.0,6.0,5.0,7.0,9.0,7.0,7.0,4.0,8.0,9.0,10.0,8.0,6.0,7.0,1.0,99.0,4.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,181427"
19-sep-25,1449679,8,2,3,1,8,9,9,9,10,99,10,8,10,8,8,8,10,10,8,8,9,7,8,10,8,8,99.0,5.0,5.0,8.0,9.0,7.0,9.0,5.0,8.0,9.0,9.0,8.0,5.0,7.0,8.0,8.0,6.0,8.0,5.0,7.0,6.0,8.0,6.0,10.0,10.0,7.0,6.0,6.0,9.0,9.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,284067"
19-sep-25,1449680,1,2,5,3,9,8,7,7,7,7,7,7,9,7,99,99,9,6,99,7,99,99,99,9,6,7,99.0,7.0,99.0,6.0,6.0,5.0,99.0,99.0,99.0,10.0,8.0,9.0,4.0,8.0,9.0,9.0,6.0,9.0,6.0,99.0,99.0,8.0,8.0,9.0,9.0,8.0,99.0,99.0,99.0,99.0,10.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,240337"
19-sep-25,1449681,7,1,2,1,4,4,4,5,6,6,5,7,6,3,2,99,5,0,1,7,99,1,8,4,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,99.0,99.0,99.0,4.0,7.0,99.0,99.0,99.0,99.0,1.0,99.0,8.0,5.0,99.0,7.0,9.0,99.0,99.0,99.0,99.0,99.0,8.0,8.0,8.0,8.0,9.0,"0,861369"
19-sep-25,1449682,5,2,5,2,8,9,7,7,7,8,8,5,99,5,7,99,7,4,7,7,8,1,8,9,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,4.0,4.0,99.0,6.0,9.0,8.0,99.0,7.0,6.0,99.0,6.0,5.0,4.0,9.0,8.0,7.0,8.0,9.0,99.0,99.0,10.0,8.0,8.0,8.0,9.0,"0,86299"
19-sep-25,1449683,8,2,3,2,10,10,10,10,10,99,10,10,10,0,0,1,9,0,10,0,0,1,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,10.0,0.0,1.0,99.0,99.0,10.0,99.0,1.0,99.0,99.0,1.0,6.0,7.0,10.0,99.0,5.0,7.0,10.0,10.0,99.0,0.0,10.0,10.0,10.0,10.0,2.0,"1,284067"
19-sep-25,1449684,9,1,5,3,3,4,3,3,1,1,1,99,2,99,99,0,0,10,0,1,0,0,3,0,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,10.0,10.0,10.0,10.0,9.0,"0,602135"
19-sep-25,1449685,4,1,2,4,3,3,3,3,0,1,1,0,6,0,6,0,0,0,5,0,4,0,0,0,0,6,12.0,2.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,02564"
19-sep-25,1449686,17,2,1,5,10,10,9,10,4,4,4,3,9,2,7,8,1,0,3,3,2,0,10,7,10,8,8.0,7.0,10.0,5.0,5.0,5.0,7.0,10.0,6.0,8.0,9.0,0.0,3.0,3.0,9.0,6.0,5.0,5.0,10.0,0.0,6.0,3.0,2.0,10.0,6.0,10.0,9.0,1.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,102641"
19-sep-25,1449687,11,2,2,5,7,7,7,7,7,7,7,6,8,5,8,6,7,3,6,8,7,1,7,10,5,5,8.0,99.0,7.0,8.0,8.0,7.0,7.0,6.0,7.0,6.0,6.0,0.0,4.0,6.0,8.0,7.0,7.0,7.0,5.0,5.0,6.0,0.0,5.0,7.0,7.0,7.0,6.0,99.0,3.0,99.0,6.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,389945"
19-sep-25,1449688,9,2,3,4,10,10,10,10,9,10,10,9,8,8,0,7,10,5,8,9,8,7,10,10,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,9.0,6.0,8.0,10.0,10.0,10.0,99.0,8.0,7.0,10.0,10.0,9.0,99.0,8.0,8.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,7.0,"0,534908"
19-sep-25,1449689,3,1,2,3,8,8,8,8,6,7,7,6,6,4,7,6,7,3,99,5,7,4,5,9,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,8.0,5.0,5.0,99.0,8.0,8.0,8.0,99.0,8.0,99.0,3.0,5.0,6.0,6.0,99.0,7.0,99.0,99.0,9.0,99.0,99.0,9.0,7.0,10.0,10.0,11.0,"0,748938"
19-sep-25,1449690,5,2,5,3,10,99,8,8,8,9,9,7,8,5,5,99,9,3,8,4,99,2,99,9,7,7,98.0,5.0,7.0,7.0,8.0,4.0,8.0,6.0,6.0,7.0,3.0,5.0,3.0,8.0,6.0,7.0,6.0,6.0,7.0,6.0,4.0,2.0,0.0,7.0,5.0,4.0,6.0,99.0,2.0,5.0,99.0,0.0,3.0,7.0,8.0,3.0,8.0,8.0,10.0,8.0,2.0,7.0,6.0,5.0,9.0,5.0,4.0,8.0,4.0,7.0,7.0,8.0,8.0,6.0,8.0,6.0,8.0,8.0,6.0,"0,86299"
19-sep-25,1449691,8,1,3,4,7,9,7,8,7,7,8,7,7,4,3,3,7,3,7,4,6,3,7,8,7,7,1.0,0.0,8.0,5.0,7.0,6.0,10.0,6.0,6.0,5.0,0.0,0.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,7.0,2.0,5.0,4.0,3.0,0.0,4.0,1.0,0.0,0.0,6.0,6.0,0.0,6.0,8.0,8.0,8.0,0.0,4.0,5.0,4.0,5.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,8.0,"1,270241"
19-sep-25,1449692,2,1,2,2,7,7,5,5,3,4,4,3,8,4,4,2,8,0,4,0,3,1,7,8,5,4,27.0,99.0,99.0,2.0,6.0,6.0,5.0,5.0,5.0,10.0,99.0,4.0,4.0,3.0,6.0,8.0,3.0,7.0,5.0,6.0,5.0,6.0,5.0,4.0,7.0,6.0,6.0,3.0,1.0,1.0,7.0,1.0,4.0,9.0,9.0,8.0,3.0,4.0,8.0,8.0,99.0,1.0,3.0,7.0,8.0,3.0,6.0,8.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,3.0,5.0,3.0,5.0,"0,994837"
19-sep-25,1449693,2,2,5,5,9,99,8,8,7,7,7,7,7,6,4,2,9,5,5,6,7,4,7,8,5,5,3.0,6.0,6.0,4.0,8.0,5.0,8.0,8.0,5.0,0.0,4.0,6.0,6.0,4.0,7.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,6.0,2.0,0.0,9.0,7.0,5.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,6.0,6.0,8.0,7.0,4.0,2.0,7.0,4.0,7.0,5.0,5.0,"1,082927"
19-sep-25,1449694,16,1,5,1,9,7,8,8,8,8,8,5,7,5,7,4,8,3,5,5,3,0,7,7,5,7,8.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,5.0,3.0,5.0,5.0,4.0,3.0,6.0,4.0,5.0,6.0,5.0,6.0,5.0,7.0,4.0,3.0,0.0,0.0,6.0,4.0,7.0,6.0,6.0,4.0,5.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,7.0,5.0,6.0,5.0,1.0,"0,969242"
19-sep-25,1449695,2,1,2,1,8,8,8,8,8,8,8,7,8,7,6,6,7,5,7,7,6,4,7,8,6,7,1.0,2.0,5.0,7.0,7.0,8.0,8.0,6.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,5.0,7.0,8.0,7.0,8.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,5.0,6.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,"0,994837"
19-sep-25,1449696,21,2,3,4,3,3,8,6,6,6,6,2,9,3,7,7,9,2,2,0,0,0,2,8,9,7,5.0,9.0,9.0,4.0,6.0,4.0,5.0,3.0,3.0,8.0,6.0,3.0,9.0,3.0,10.0,7.0,8.0,6.0,10.0,9.0,5.0,2.0,7.0,8.0,10.0,7.0,6.0,4.0,0.0,1.0,6.0,1.0,3.0,8.0,10.0,5.0,10.0,10.0,10.0,10.0,5.0,5.0,3.0,4.0,6.0,6.0,6.0,10.0,7.0,7.0,10.0,10.0,10.0,6.0,9.0,7.0,10.0,9.0,5.0,"0,209393"
19-sep-25,1449697,2,1,5,5,6,6,4,4,3,3,3,3,3,4,2,2,4,2,4,2,3,0,3,3,8,6,2.0,5.0,7.0,6.0,6.0,7.0,7.0,5.0,7.0,4.0,3.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,5.0,5.0,4.0,2.0,3.0,5.0,3.0,5.0,3.0,4.0,0.0,4.0,3.0,5.0,6.0,4.0,8.0,5.0,5.0,5.0,8.0,8.0,6.0,5.0,4.0,5.0,6.0,4.0,5.0,8.0,4.0,5.0,4.0,7.0,8.0,7.0,7.0,6.0,8.0,5.0,5.0,"0,821741"
19-sep-25,1449698,11,2,2,4,6,6,6,6,5,6,6,6,5,4,6,3,7,3,10,7,7,2,6,6,4,6,26.0,3.0,3.0,6.0,6.0,6.0,7.0,10.0,7.0,7.0,4.0,4.0,5.0,5.0,6.0,5.0,3.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,5.0,8.0,5.0,3.0,3.0,99.0,4.0,99.0,6.0,4.0,7.0,5.0,7.0,7.0,7.0,7.0,99.0,7.0,99.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,6.0,7.0,99.0,8.0,5.0,6.0,3.0,12.0,"1,389945"
